name,country,batting_style,bowling_style,playing_role,image
Colin Smith,West Indies,Left hand Bat,Right arm Offbreak,Opening Batter,
Gavin Hamilton,Scotland,Left hand Bat,Right arm Medium fast,Middle order Batter,
Iain O'Brien,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,
Gordon Drummond,Scotland,Right hand Bat,Right arm Medium fast,Bowler,
Craig Wright,Scotland,Right hand Bat,Right arm Medium,Bowler,
Ricky Ponting,Australia,Right hand Bat,Right arm Medium,Top order Batter,
Brett Lee,Australia,Right hand Bat,Right arm Fast,Bowler,
James Hopes,Australia,Right hand Bat,Right arm Medium,Allrounder,
Xavier Marshall,United States of America,Right hand Bat,Right arm Offbreak,Opening Batter,
Nathan Bracken,Australia,Right hand Bat,Left arm Fast medium,Bowler,
Zunaed Siddique,Canada,Right hand Bat,Legbreak,Allrounder,
Raqibul Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ishant Sharma,India,Right hand Bat,Right arm Fast medium,Bowler,
Pragyan Ojha,India,Left hand Bat,Slow Left arm Orthodox,Bowler,
Glenn Rogers,Scotland,Right hand Bat,Slow Left arm Orthodox,Bowler,
Regan West,Ireland,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox",Bowler,
Nathan Hauritz,Australia,Right hand Bat,Right arm Offbreak,Bowler,
Jehan Mubarak,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319864.2.png"
Brendon Diamanti,New Zealand,Right hand Bat,Right arm Medium fast,Batter,
Neil Broom,New Zealand,Right hand Bat,Right arm Medium,Middle order Batter,
Andrew White,Ireland,Right hand Bat,Right arm Offbreak,Allrounder,
Peter Connell,Ireland,Right hand Bat,Right arm Medium fast,Bowler,
Shahzaib Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Devon Smith,West Indies,Left hand Bat,Right arm Offbreak,Opening Batter,
Daren Powell,West Indies,Right hand Bat,Right arm Fast medium,Bowler,
Shaun Pollock,South Africa,Right hand Bat,Right arm Fast medium,Allrounder,
Makhaya Ntini,South Africa,Right hand Bat,Right arm Fast,Bowler,
Vernon Philander,South Africa,Right hand Bat,Right arm Fast medium,Allrounder,
Justin Kemp,South Africa,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320373.1.png"
Morris Ouma,Kenya,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Tanmay Mishra,India,Right hand Bat,Right arm Fast medium,Middle order Batter,
Steve Tikolo,United States of America,Left hand Bat,Right arm Offbreak,Opening Batter,
Collins Obuya,Kenya,Right hand Bat,Legbreak,Allrounder,
Nehemiah Odhiambo,Kenya,Right hand Bat,Right arm Medium fast,Bowler,
Alex Obanda,Kenya,Right hand Bat,Right arm Medium fast,Opening Batter,
Rajesh Bhudia,Kenya,Right hand Bat,Right arm Medium,Bowler,
Peter Ongondo,Kenya,Right hand Bat,Right arm Fast medium,Bowler,
Mark Gillespie,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,
Lou Vincent,New Zealand,Right hand Bat,Right arm Medium,Batter,
Peter Fulton,New Zealand,Right hand Bat,Right arm Medium,Top order Batter,
John Blain,Scotland,Right hand Bat,Right arm Fast medium,Bowler,
Adam Gilchrist,Australia,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321545.1.png"
Matthew Hayden,Australia,Left hand Bat,Right arm Medium,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319706.1.png"
Andrew Symonds,Australia,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,
Stuart Clark,Australia,Right hand Bat,Right arm Fast medium,Bowler,
Gary Brent,Zimbabwe,Right hand Bat,Right arm Medium,Bowler,
Tawanda Mupariwa,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Keith Dabengwa,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Syed Rasel,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,
Alok Kapali,Bangladesh,Right hand Bat,Legbreak,Allrounder,
Darren Maddy,England,Right hand Bat,Right arm Medium,Allrounder,
Andrew Flintoff,England,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319745.1.png"
Dilhara Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,
Robin Uthappa,India,Right hand Bat,Right arm Medium,Batter,
Ajit Agarkar,India,Right hand Bat,Right arm Fast,Bowler,
Craig McMillan,New Zealand,Right hand Bat,Right arm Medium,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319774.1.png"
Jeetan Patel,New Zealand,Right hand Bat,Right arm Offbreak,Bowler,
Jeremy Snape,England,Right hand Bat,Right arm Offbreak,Bowler,
Vikram Solanki,England,Right hand Bat,Right arm Offbreak,Middle order Batter,
Nadif Chowdhury,Bangladesh,Right hand Bat,Slow Left arm Orthodox,Batter,
Andre Nel,South Africa,Right hand Bat,Right arm Fast medium,Bowler,
Joginder Sharma,India,Right hand Bat,Right arm Fast medium,Allrounder,
Alex Hales,England,Right hand Bat,Right arm Off,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png"
Misbah-ul-Haq,Pakistan,Right hand Bat,Right arm Off,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386365.4.png"
Mahela Jayawardene,Sri Lanka,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386400/386427.1.png"
Chris Gayle,West Indies,Left hand Bat,Right arm Off Break,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316494.1.png"
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Off Break,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322584.1.png"
Jason Roy,England,Right hand Bat,Right arm Off Break,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319791.1.png"
Quinton de Kock,South Africa,Left hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png"
Jos Buttler,England,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383143.1.png"
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Off Break,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348599.1.png"
Phil Salt,England,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383141.1.png"
MS Dhoni,India,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319946.3.png"
Ross Taylor,New Zealand,Right hand Bat,NA,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316538.1.png"
Joe Root,England,Right hand Bat,Right arm Off Break,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/397100/397148.5.png"
Lorcan Tucker,Ireland,Right hand Bat,NA,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339164.1.png"
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Off Break,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392200/392219.2.png"
Albie Morkel,South Africa,Left hand Bat,Right arm Medium ,Allrounder,
Krishmar Santokie,West Indies,Left hand Bat,Left arm Medium,Bowler,
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383153.1.png"
Tim Southee,New Zealand,Right hand Bat,Right Arm Fast,Bowler,
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.1.png"
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383237.1.png"
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383238.1.png"
RP Singh ,India,Right hand Bat,Left Arm Fast,Bowler,
Ahsan Malik,Netherlands,Right hand Bat,Right Arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322646.1.png"
Lockie Ferguson,New Zealand,Right hand Bat,Right Arm Fast,Bowler,
Ajantha Mendis,Sri Lanka,Right hand Bat,Right Arm Off Spin,Bowler,
Jeevan Mendis,Sri Lanka,Left hand Bat,Right arm Leg Spin,Bowler,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Right arm Wrist Spin,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322946.1.png"
Josh Little,Ireland,Left hand Bat,Left Arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367860.1.png"
Lasith Malinga,Sri Lanka,Right hand Bat,Right Arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316539.2.png"
Nuwan Kulasekara,Sri Lanka,Right hand Bat,Right Arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386400/386418.1.png"
Ish Sodhi,New Zealand,Right hand Bat,Right arm Leg Spin,Bowler,
Ravindra Jadeja,India,Left hand Bat,Left arm Offbreak,Allrounder,
Kyle McCallan,Ireland,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319875.1.png"
Josh Davey,Scotland,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316676.1.png"
Assad Vala,Papua New Guinea,Left hand Bat,Right arm Offbreak,Bowler,
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Wrist Spin,Bowler,
Ben Stokes,England,Left hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319748.1.png"
Chris Jorder,England,Right hand Bat,Right arm Medium,Bowler,
Rishad Hossain,Bangladesh,Right hand Bat,Right arm Leg Spin,Bowler,
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Allrounder,
Ottneil Baartman,South Africa,Right hand Bat,Right arm Medium,Bowler,
Nicholas Pooran,West Indies,Left hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png"
